Air Algérie
Tassili Airlines
Diexim Expresso
SonAir
TAAG Angola Airlines
COTAIR
Trans Air Benin
Air Botswana
Air Burkina
Air Burundi
Camair-co
Elysian Airlines
Cabo Verde Express
Halcyonair
TACV
Toumaï Air Tchad
Comores Air Services
Comores Aviation
Comoro Islands Airline
Compagnie Africaine d'Aviation
Congo Express
FlyCongo
Korongo Airlines
Wimbi Dira Airways
Trans Air Congo
Air Côte d'Ivoire
Daallo Airlines
Djibouti Air
Air Cairo
Air Memphis
Air Sinai
Alexandria Airlines
AMC Airlines
Cairo Aviation
EgyptAir
EgyptAir Express
Nile Air
Ecuato Guineana
Eritrean Airlines
Ethiopian Airlines
Avirex Gabon
Gambia Bird
Mahfooz Aviation
Slok Air International
CTK - CiTylinK
African Express Airways
Airkenya Express
Kenya Airways
Mombasa Air Safari
Afriqiyah Airways
Air Libya Tibesti
Buraq Air
Libyan Arab Airlines
Air Madagascar
Air Malawi
Air Mali
Mauritania Airlines International
Air Mauritius
Casa Air Service
Regional Air Lines
Royal Air Maroc
LAM Mozambique Airlines
Moçambique Expresso
Transairways
Air Namibia
Aero Contractors
Arik Air
Chanchangi Airlines
IRS Airlines
Overland Airways
air peace
Air Austral
RwandAir
STP Airways
Air Seychelles
Eagle Air
Jubba Airways
1Time Airline
Airlink
Comair
Mango
South African Airways
South African Express
Marsland Aviation
Mid Airlines
Nova Airline
Sudan Airways
Sun Air
Badr Airlines
Airlink Swaziland
Air Tanzania
Precision Air
Regional Air
ASKY Airlines
Karthago Airlines
Nouvelair Tunisia
Tunisair
TunisAir Express
Eagle Air
Airwaves Airlink
Nationwide Airlines
Proflight Zambia
Air Zimbabwe
Zimbabwe Airlink
Ariana Afghan Airlines
Kam Air
Safi Airways
Azerbaijan Airlines
Turan Air
Biman Bangladesh Airlines
NovoAir
Regent Airways
United Airways
US-Bangla Airlines
Drukair
Royal Brunei Airlines
Aero Cambodia
Cambodia Angkor Air
Sky Wings Asia Airlines
TonleSap Airlines
Air China
Beijing Capital Airlines
Chengdu Airlines
China Eastern Airlines
China Express Airlines
China Flying Dragon Aviation
China Southern Airlines
China United Airlines
Chongqing Airlines
Dalian Airlines
Hainan Airlines
Henan Airlines
Huaxia Airlines
Juneyao Airlines
Kunming Airlines
Lucky Air
Okay Airways
Shandong Airlines
Shanghai Airlines
Shenzhen Airlines
Sichuan Airlines
Spring Airlines
Tianjin Airlines 
West Air
XiamenAir
Cathay Pacific
Cathay Dragon
HK Express
Hong Kong Airlines
Air Macau
Jet Asia
China Airlines
Daily Air
EVA Air
Far Eastern Air Transport
Mandarin Airlines
TransAsia Airways
Uni Air
Air Timor
Air Asia India
Air Deccan
Air India
Air-India Express
Air India Regional
AirAsia India
Air Odisha
Alliance Air
Go Air
IndiGo
Jet Airways
JetKonnect
SpiceJet
TruJet
Vistara
Zoom Air
Air Regional
Airfast Indonesia
Aviastar
Batik Air
Citilink
Garuda Indonesia
Indonesia Air Transport
Indonesia AirAsia
Jhonlin Air Transport
Kalstar Aviation
Kaltim Airlines
Lion Air
Mimika Air
Pelita Air Service
Sriwijaya Air
Susi Air
Wings Air
Air Do - Hokkaido International Airlines
AirAsia Japan
Airtransse
All Nippon Airways
Air Japan
ANA Wings
Amakusa Airlines
Fuji Dream Airlines
Ibex Airlines
Japan Airlines
Hokkaido Air System
J-Air
JAL Express
Japan Air Commuter
Japan Transocean Air
Ryukyu Air Commuter
Jetstar Japan
Kyokushin Air
New Central Airlines
Oriental Air Bridge
Peach
Skymark Airlines
Skynet Asia Airways
StarFlyer
Air Astana
Berkut Air
Euro-Asia Air
SCAT
Air Koryo
Air Busan
Air Seoul
Asiana Airlines
Eastar Jet
Jeju Air
Jin Air
Korean Air
T'way Airlines
Air Bishkek
Avia Traffic Company
Kyrgyzstan
Lao Airlines
Lao Central Airlines
Air Asia
AirAsia X
Berjaya Air
Firefly
Layang Layang Aerospace
Malaysia Airlines
Malindo Air
MASwings
Sabah Air
FlyMe
Island Aviation Services
Maldivian Air Taxi
Trans Maldivian Airways
Aero Mongolia
Eznis Airways
Hunnu Air
MIAT-Mongolian
Air Bagan
Air KBZ
Air Mandalay
APEX Airlines
Asian Wings Airways
FMI Air
Golden Myanmar Airlines
Mann Yatanarpon Airlines
Myanmar Airways International
Myanmar National Airlines
Yangon Airways
Buddha Air
Gorkha Airlines
Manang Air
Nepal Airlines
Yeti Airlines
Aero Asia International
Air Indus
Airblue
Askari Aviation
ASSL
Bhoja Air
PIA
Princely Jets
Rayyan Air
SereneAir
Shaheen Air
Star Air Aviation
Vision Air International
AirAsia Philippines
Cebu Pacific
Corporate Air
Interisland Airlines
Pacific Pearl Airways
Pacificair
PAL Express
Philippine Airlines
South East Asian Airlines
Spirit of Manila
Zest Airways
Jetstar Asia Airways
Scoot
SilkAir
Singapore Airlines
Tiger Airways
Valuair
Air Hybrid
Cinnamon Air
FitsAir
Helitours
Lankan Cargo
SriLankan Airlines
Yahapalanaya Airlines
SriLankan Cargo
Taiwan[edit]
Somon Air
Tajik Air
Bangkok Airways
Nok Air
Orient Thai Airlines
Thai AirAsia
Thai Airways International
Thai Lion Air
Thai Smile
Thai Vietjet Air
Turkmenistan Airlines
Uzbekistan Airways
Air Mekong
Jetstar Pacific Airlines
VietJet Air
Vietnam Air Service Company
Vietnam Airlines
Inter Island Airways
Aeropelican Air Services
Air Link
Airlines of Tasmania
Airnorth
Alliance Airlines
Brindabella Airlines
Eastern Australia Airlines
Jetstar Airways
Maroomba Airlines
National Jet
Network Aviation
Qantas
QantasLink
Queensland Regional Airlines
Regional Express Airlines
Skippers Aviation
Skytrans Airlines
Sunstate Airlines
Tiger Airways Australia
V Australia
Virgin Australia
Virgin Australia Regional Airlines
Air Rarotonga
Fiji Airways
Pacific Island Air
Pacific Sun
Air Tahiti
Air Tahiti Nui
Continental Micronesia
Freedom Air
Air Kiribati
Coral Sun Airways
Air Marshall Islands
Our Airline
Air Caledonie
Aircalin
Air Chathams
Air Nelson
Air New Zealand
Aspiring Air
Eagle Airways
Jetconnect
Mount Cook Airline
Belau Air
Air Niugini
Airlines PNG
Asia Pacific Airlines
Islands Nationair
Polynesian Airlines
Polynesian Blue
Solomon Airlines
Air Vanuatu
Anguilla Air Services
Trans Anguilla Airways
LIAT
Tiara Air
Bahamasair
Cat Island Air
Maya Island Air
Tropic Air
BVI Airways
Cayman Airways
Air Charter Service
Lacsa
Nature Air
SANSA
Ticos Air
Aero Caribbean
Aerogaviota
Cubana de Aviación
E-Liner Airways
Insel Air
Aerolíneas Mas
Caribbean Air Sign
PAWA Dominicana
Servicios Aéreos Profesionales
TACA
Air Antilles Express
Air Caraïbes
Aviateca
Guatemala-Inter
Mayan World Airlines
Salsa d'Haiti
Sunrise Airways
Aerolíneas Sosa
Atlantic Airlines de Honduras
Central American Airways
Isleña Airlines
TACA de Honduras
Jamaica Air Shuttle
Skylan Airways
TimAir
FlyMontserrat
La Costeña
Aeroperlas
Alas Chiricanas
Copa Airlines
Air Culebra
Executive Air
Flamenco Air
Isla Nena Air
San Juan Aviation
Vieques Air Link
St Barth Commuter
Mustique Airways
SVG Air
Windward Islands Airways
Caribbean Airlines
Tobago Express
Air Turks and Caicos
Seaborne Airlines
Air Armenia
Atlantis European Airways
Austrian Airlines
InterSky
Tyrolean Airways
Welcome Air
Belavia
Brussels Airlines
Jetairfly
Thomas Cook Airlines Belgium
Air VIA
BH Air
Bulgaria Air
Bulgarian Air Charter
Croatia Airlines
Trade Air
Zadar Airlines
Czech Airlines
SmartWings
Travel Service
Cobalt Air
Air Alsie
Copenhagen Air Taxi
DAT - Danish Air Transport
Jet Time
Scandinavian Airlines
Sun Air of Scandinavia
Avies
Enimex
Estonian Air
Atlantic Airways
Air Åland
Copterline
Finnair
Flybe Nordic
Aigle Azur
Air Corsica
Air France
Corsair International
Finist'air
Twin Jet
XL Airways France
Georgian Airways
Georgian National Airlines
Aero Dienst
Avanti Air
Condor
Eurowings
FLN Frisia Luftverkehr
Germania
Germanwings
LFH - Luftverkehr Friesland Harle
Luftfahrtgesellschaft Walter
Lufthansa
Lufthansa CityLine
Lufttaxi Fluggesellschaft
Private Wings Flugcharter
Rheinair
Stuttgarter Flugdienst
Sylt Air
TUIfly
WDL Aviation
Aegean Airlines
Astra Airlines
Bluebird Airways
Minoan Air
Olympic Air
Sky Express
Air Greenland
CityLine Hungary
Travel Service
Wizz Air
Air Atlanta Icelandic
Air Iceland
Icelandair
WOW air
Aer Lingus
ASL Airlines Ireland
CityJet
Ryanair
Stobart Air
Air Dolomiti
Air Italy
Air Sal
Air Vallée
Alidaunia
Alitalia
Alitalia Cityliner
Blu-express
Blue Panorama Airlines
Eurofly
Evolavia
Italia Jet
Meridiana
Mistral Air
Neos
airBaltic
SmartLynx Airlines
Comlux
Global Jet Luxembourg
Luxair
Luxaviation
Air Malta
Medavia
Air Moldova
Tandem Aero
Heli Air Monaco
Arkefly
Corendon Dutch Airlines
Denim Air
KLM Cityhopper
KLM Royal Dutch Airlines
Transavia
MAT Macedonian Airlines
Star Airlines
Bergen Air Transport
Classic Norway Air
Fonnafly
Norwegian Air Shuttle
Scandinavian Airlines
Sundt Air
Widerøe
Enter Air
Eurolot
FlyJet
IBEX
LOT Charters
LOT Polish Airlines
SkyTaxi
Aerocondor
Portugália
SATA Air Acores
SATA International
TAP Portugal
White
Blue Air
Carpatair
Jet Tran Air
TAROM
AeroBratsk
Aeroflot
Alrosa-Avia
Angara Airlines
Avcom
Aviastar-TU
Bugulma Air Enterprise
Bural
Bylina
Chukotavia
Donavia
Gazpromavia
Izhavia
Kazan Air Enterprise
Kogalymavia
Komiaviatrans
Moskovia Airlines
Nordavia
NordStar
Petropavlovsk-Kamchatsky Air Enterprise
Polet Airlines
Red Wings Airlines
Rossiya
S7 Airlines
Saravia
Tomskavia
Ural Airlines
UTair Aviation
Volga-Dnepr
Vologda Aviation Enterprise
Vostok Aviation Company
Yakutia Airlines
Yamal Airlines
Air Serbia
Airpink
Aero Slovakia
AirExplore
Danube Wings
SAM Air
Travel Service
Adria Airways
Solinair
Aeronova
Air Este
Air Europa
Air Granada
Air Horizont
Air Nostrum
Air Pack Express
Alaire
Audeli Air
Binter Canarias
BKS Air
Bravo Airlines
Cygnus Air
Euro Continental Air
Fly LPI
FlyAnt
Gadair
Hola Airlines
Iberia
Iberia Express
Ibertrans Aérea
Intermediación Aérea
Islas Airways
Naysa Aerotaxis
OrionAir
Plaza Servicios Aéreos
Serair
Swiftair
Top Fly
Volotea
Vueling
Vuelos Mediterraneo
Wamos Air
Zorex Air Transport
Avitrans
Direktflyg
Golden Air
Gotlandsflyg
International Business Air
Kullaflyg
Malmö Aviation
Nordic Regional
Nordkalottflyg
Novair
Scandinavian Airlines
Skyways Express
Snålskjuten
Stockholmsplanet
Sundsvallsflyg
Viking Airlines
Air Glaciers
Air Prishtina
Club Airways International
Connect Air
Darwin Airline
easyJet Switzerland
Edelweiss Air
Helvetic Airways
Jet Aviation
Jetclub
Ju-Air
PrivatAir
Sky Work Airlines
Swiss Global Air Lines
Swiss International Air Lines
Anadolu Jet
Atlasjet
Corendon Airlines
Freebird Airlines
Izmir Airlines
Onur Air
Pegasus Airlines
Saga Airlines
Sky Airlines
SunExpress
Turkish Airlines
Aeromist-Kharkiv
Air Kharkov
Air Urga
Antonov Airlines
Constanta Airline
Dniproavia
Khors Aircompany
Lvov Airlines
Motor Sich Airlines
Odessa Airlines
Podilia-Avia
South Airlines
Tavrey Airlines
Ukraine Air Alliance
Ukraine International Airlines
UM Airlines
Volare Airlines
Yuzhmashavia
Air Atlantique
Air Wales
Aurigny
Blue Islands
BMI Regional
British Airways
Eastern Airways
easyJet
Flybe
Highland Airways
Isles of Scilly Skybus
Loganair
Lydd Air
Thomas Cook Airlines
Thomson Airways
Titan Airways
Virgin Atlantic Airways
Gulf Air
Aria Tour
Ata Airlines
Atrak Airlines
Caspian Airlines
Eram Air
Iran Air
