Embraer 195
Airbus A330
Boeing 787
Airbus A320
Airbus A220
Airbus A321
McDonnell Douglas MD-88
McDonnell Douglas MD-11 
McDonnel Douglas DC-8
Boeing 777
Airbus A340
Airbus A380
Airbus A350
Embraer 190
Boeing 747
Airbus A318
Airbus A319
Boeing 789
Boeing 737
Boeing 737 MAX
