6347,102,Adrar,27.87,-0.29,Adrar,AZR,Adrar,Algeria
1062,188,Eldorado,24.3305,-107.37,Eldorado,ELO,Eldorado,Argentina
4215,196,Eldorado,-26.2,-54.6,Eldorado,ELO,Eldorado,Argentina
12506,195,Adrian,41.8994,-84.0447,Adrian,ADG,Lenawee County,United States
1068,188,Merida,20.9666,-89.6166,Merida,MID,Rejon,Mexico
1068,188,Merida,20.9666,-89.6166,Merida,MRD,A Carnevalli,Venezuela
3894,207,Merida,8.4,-71.13,Merida,MID,Rejon,Mexico
3894,207,Merida,8.4,-71.13,Merida,MRD,A Carnevalli,Venezuela
6546,45,Merida,38.912,-6.338,Merida,MID,Rejon,Mexico
6546,45,Merida,38.912,-6.338,Merida,MRD,A Carnevalli,Venezuela
1069,188,Guerrero Negro,27.9904,-114.17,Guerrero Negro,GUB,Guerrero Negro,Mexico
1073,188,Durango,24.0311,-104.67,Durango,AMK,Animas Airpark,United States
1073,188,Durango,24.0311,-104.67,Durango,DRO,La Plata,United States
1073,188,Durango,24.0311,-104.67,Durango,DGO,Guadalupe Victoria,Mexico
10538,195,Durango,37.2744,-107.8702,Durango,AMK,Animas Airpark,United States
10538,195,Durango,37.2744,-107.8702,Durango,DRO,La Plata,United States
10538,195,Durango,37.2744,-107.8702,Durango,DGO,Guadalupe Victoria,Mexico
3366,48,Afyon,38.7504,30.55,Afyon,AFY,Afyon,Turkey
3367,96,Afyon,38.7504,30.55,Afyon,AFY,Afyon,Turkey
3368,169,Afyon,38.7504,30.55,Afyon,AFY,Afyon,Turkey
689,135,Agadir,30.44,-9.62,Agadir,AGA,Agadir Almassira,Morocco
1080,188,Colima,19.23,-103.72,Colima,CLQ,Colima,Mexico
7355,65,Agartala,23.8354,91.28,Agartala,IXA,Singerbhil,India
1083,188,Apatzingan,19.08,-102.35,Apatzingan,AZG,Apatzingan,Mexico
6686,16,Agen,44.2004,0.6333,Agen,AGF,La Garenne,France
1088,188,Hermosillo,29.0989,-110.9541,Hermosillo,HMO,Gen Pesqueira Garcia,Mexico
1091,188,Culiacan,24.83,-107.38,Culiacan,CUL,Fedl De Bachigualato,Mexico
1095,188,Mexico City,19.4424,-99.131,Mexico City,AZP,Atizapan,Mexico
1095,188,Mexico City,19.4424,-99.131,Mexico City,MEX,Juarez International,Mexico
